target	EEBR-OA.Prd	EEBR-OB.Prd	EEMAC-CN.Prd	EEMAC-CPL.Prd	EEMAC-N.Prd	GL-CN.Prd	GL-F.Prd	GL-NP.Prd	L-CN.Prd	L-RA.Prd	M-CN.Prd	M-RA.Prd	P-CN.Prd	P-RA.Prd	PP-CN.Prd	PP-PP.Prd	SA-CN.Prd	SA-RA.Prd	SUL-CN.Prd	SUL-F.Prd	SUL-LM.Prd	T-CN.Prd	T-NP.Prd	TT-CN.Prd	TT-LP.Prd	NA
k117_77632_1_L-RA	0.030319950864292924	0.05311462231940541	0.09097214883296814	0.3438585106507935	0.106425337612241	0.045468405712663584	0.015123208739253713	0.08335405618225947	0.1291209515881978	0.30281464790790286	0.15934897945669096	0.08329459801347314	0.1665416257605914	0.1514625465348802	0.015163340340375982	0.015151406601328656	0.030277765676562242	0.030365080295638936	0.03796427470053289	0.022725519424525734	0.06117384814683441	0.05321332707598123	0.03024167329100238	0.02406413901139576	0.04579758310795261	0
k117_92183_1_L-RA	0	0	0	0.021630757593075554	0.005379742340838557	0.010725880321961666	0	0.005362638579557952	0.010750341670691582	0.33216437532051507	0.0053700022381009405	0.03215287979261341	0.06964467986352005	0.21437775817244584	0	0	0	0	0	0	0	0	0	0	0	0
k117_134480_14_L-RA	0	0	0	0	0	0	0	0	0.010429435949178402	0.40541005846774464	0	0.02079539489074499	0.031184185013516438	0.16638273768607736	0	0	0	0	0	0	0	0	0	0	0	0
k117_153956_5_L-RA	0	0	0.05297112463691817	0.10678475267467678	0.0354109622434943	0	0	0	0.01769043566063172	0.24685143449707528	0.07069370034968327	0.0529098021903765	0.0881578226120507	0.017638676305327824	0	0	0	0	0	0	0	0	0	0	0	0
k117_193672_4_L-RA	0.08452834786408937	0	0.04226988733653066	0.042606037683330635	0	0	0.04216167284882853	0.08450218367788288	0.08469966164787308	0.12663158003421393	0.08461821708522695	0.08444190652605542	0.042208896886981845	0	0.08454710977664184	0.1267208552111124	0.08441074067405231	0.042327081624223974	0	0	0.04263631840536944	0.042386373082166875	0	0	0	0
k117_215697_3_L-RA	0.0050717008718453626	0.025384650666936615	0.11159250256844094	0.25052350157798414	0.1576753573351228	0.03042249691320037	0	0.015210393062018922	0.030491878193234314	0.24819789686705934	0.09138767445204511	0.13172937418064648	0.17221229929888593	0.11147643424967185	0.010145653173197022	0.020275336833777986	0.0050646444404431395	0.02031699917962751	0	0.02027391793509205	0.005116358208644333	0	0	0.021468128863499737	0.00510712441931108	0
k117_271401_3_L-RA	0	0	0.026318986454820975	0.2122263009131941	0.05278237768369905	0	0	0.026307283597831462	0.02636876258848879	0.21025620835869485	0	0.02628851806943235	0.05256202253850569	0.052583223702675395	0.026321270024803594	0	0	0	0	0	0	0	0	0	0	0
k117_280509_1_L-RA	0	0.005584623146726055	0.05021662615579842	0.20808788804538686	0.279746601723605	0.07808440874388095	0.033392044896272205	0.02230857649096108	0.1173937310439521	0.902629902483877	0.16754406982874936	0.22292663322878634	0.21729140117418255	0.5741036363858101	0	0	0.011142217768974906	0.027935873871987826	0	0	0	0	0.022257871542177753	0	0	0
k117_361316_4_L-RA	0	0	0.05263797290964195	0.0795848628424478	0.026391188841849524	0	0	0	0.05273752517697758	0.4205124167173897	0.07903022161733461	0.1051540722777294	0.07884303380775855	0.262916118513377	0	0	0	0	0	0	0	0	0	0	0	0
k117_373113_4_L-RA	0.015326568568763457	0.015342371282214436	0.19927232601507308	0.35536244617195556	0.16907761642635463	0.015322686174230953	0.030578795692556962	0.061287298052090884	0.092145785748785	0.1836853688408378	0.06137145414972504	0.16841984653273692	0.16837175351620232	0.13781427311085803	0.10730979317804541	0.13786115017472667	0.04591573256445703	0.07674690624172478	0.04605775743888826	0.015316833604808554	0.015461522059090016	0.030741765092560592	0.030573999371123286	0.04865716019886616	0.0926017065039921	0
k117_452855_2_L-RA	0	0.02053170274531638	0.08205331071208893	0.16541167571175425	0.02056960306791213	0	0.020460811823696204	0.04100841266720787	0	0.16387616239721806	0.10266180749310623	0.08195832103999498	0.020483729371623547	0.02049199159001321	0.020515107519332214	0	0	0.020541083729402814	0	0	0	0	0	0	0	0
k117_465782_1_L-RA	0	0	0.017328028349136795	0.052397487337263765	0.043438913311118786	0	0	0	0.017360800213539203	0.21629617707707352	0.060704373126358464	0.060577889464344115	0.00865151302652423	0.10386003190963215	0	0	0	0	0	0	0	0	0	0	0	0
k117_473527_36_L-RA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
k117_483640_1_L-RA	0	0	0.046496876070183726	0.34368870397886714	0.10879034511473526	0.20140819715683575	0.1700520804902751	0.12393653606089489	0.1708109843232107	0.8512456213411048	0.06205335919583309	0.2167342267502089	0.10833616867658673	0.6347963616995203	0	0	0	0.2017590890754676	0	0	0	0.04662501039038356	0	0	0	0
